appid,short_description
393,"Delve into classic turn-based strategy gaming with elements of table top miniatures, fantasy RPG and TCG style gameplay all wrapped into one."
394,"EverQuest® II is the epitome of massively multiplayer gaming - the ultimate blend of deep features, heritage, and community."
395,"Toki Tori 2+ may look cute, but it’s a challenging puzzle adventure game. Whistle and stomp are the only moves you need to solve increasingly complex puzzles, as you go anywhere, anytime on a lush forest island."
396,"Run a modern airline, design unique airplanes and grow a run-down carrier into a globally recognized company that passengers practically beg to fly"
397,"A super fast, twin analogue shooter for the modern age!"
398,"You’ve tossed, burned and sliced them by the thousands – now orcs must die more than ever before! Grab a friend and slay orcs in untold numbers in this sequel to the 2011 AIAS Strategy Game of the Year from Robot Entertainment."
399,"Deep in the underworld of Ardania, a threat of the most evil nature grows and multiplies with an appetite for destruction that is unsurpassed. Summoned from the depths of the Bottomless Pit, the (once) mighty Báal-Abaddon has been torn from his throne of skulls and imprisoned in an earthly body of less-than-imposing stature (he's an Imp,..."
400,"Scoregasm is an incredible, variety rich shooter with a non-linear, branching paths style galaxy to explore. It's pretty, accessible, fun and really rather good! Blast your way through the galaxy's many varied levels and use your skills to change your route, find new levels, new enemies, unlock bonus challenge stages and fight the bosses..."
401,"Set in a magical world where gods walk among mortals, Demigod blends action, strategy and role-playing elements into a thrilling new experience."
402,"A brave space marine, armed with only bombs and a flashlight, must escape the Anathema Mines!"
403,"A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode!"
404,Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.
405,"In a time of chaotic upheaval, the player takes the role of a great mage, a warlord vying for ultimate power."
406,"Set in futuristic Tokyo, take control of the robotic community before they control everything!"
407,Explore one of the defining periods in world history in an experience crafted by the masters of Grand Strategy.
408,"Each person you aid, each flower you crush, and each creature you slay will change this world forever. Fable: Who will you be?"
409,"No longer a New York City cop, Max Payne moves to São Paulo to protect a wealthy family in an effort to finally escape his troubled past. Combining cutting edge shooting mechanics with a dark and twisted story, Max Payne 3 is a seamless, highly detailed, cinematic experience from Rockstar Games."
410,Navigate the beauty and hazards of the solar system while riding a wave of light through 100+ levels in this innovative action-puzzle game!
411,"Snapshot is the tale of a lone robot lost in an abandoned world. Armed with only his trusty camera, Pic sets forth on his great adventure. A camera might not seem like enough for a puzzle platforming adventure, but this camera is different from most: It has the ability to capture and remove from the world the very objects that it..."
412,The Bridge is a logic puzzle game that forces you to reevaluate your preconceptions of physics and perspective. It is Isaac Newton meets M. C. Escher. Manipulate gravity to redefine the ceiling as the floor while venturing through impossible architectures.
413,Serious Sam 2 is a shot of adrenaline to the hearts of first-person shooter fans across the world. This is serious!
414,"Command a team of 5 elite soldiers against an alien horde of 100,000. Surrounded on all sides, you must outmaneuver and outsmart the enemy."
415,"Lead a Griffin Elite Squad in missions through the territory of the fearsome Scorpion creatures, the terrible Wolfen packs, or the brutal Bran-Ô-Kor Orcs."
416,Europe is in turmoil. The lands are fragmented into petty fiefs and the Emperor struggles with the Pope. At this very moment the Pope has declared that those who go to liberate the Holy Land will be freed of all sins. Gather prestige and piety and the world will whisper your name in awe.
417,"Lumino City is an award-winning hand-made Puzzle Adventure game. By exploring the city, and using your ingenuity piece together all sorts of puzzling mechanisms to help the people who live in its unique world. Discover gardens in the sky, towers marooned high on an immense waterwheel, and houses dug precariously into cliffs."
418,Takes the player into unfamiliar territory as they use NES-style controls to blast their way through the barrage of Beats in this rhythm-music adventure.
419,"BIT.TRIP VOID is the third installment in the retro-arcade BIT.TRIP saga.BIT.TRIP VOID is a synesthetic exploration of rhythm and music as they pertain to our everyday lives and moods. In a control scheme brand new to the series, yet wholly familiar to gamers, the player is given complete freedom to move about the screen wherever they..."
420,"FATE is the penultimate chapter in the six-part BIT.TRIP series and will leave you wondering what’s next.Key Features:The arrow keys control CommanderVideo while the mouse allows you to fire anywhere on screen! Or if you prefer, plug in a controller for dual-stick shooting action!"
421,"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal."
422,"Test your PC's performance with 3DMark, the world's most popular gaming benchmark and graphics test."
423,"Develop a successful trading company, lead your ships in naval battles and force your opponents to their knees!"
424,"As the greatest detective of all time you must find clues, interrogate suspects &amp; unveil a mystery in a story full of twists!"
425,"Light up the world! As Plug, you are charged with restoring the expansive Amp-Tree-System, and thwarting an enigmatic intruder."
426,"In this Insanely Twisted, 2-D action-adventure game, explore unique environments and battle bizarre creatures."
427,"Yesterday is a thrilling and dark mystery from the masters of adventure, Pendulo Studios."
428,Turn light into sound in this multi-award winning game from the creators of Fractal!
429,"Tag, grind, and trick to the beat in SEGA’s hit game Jet Set Radio!"
430,"Avernum 4 is the first chapter in the Great Trials Trilogy, three games that tell the tale of your land’s struggles in the face of powerful forces that seek to destroy it."
431,"Avernum 5 is the second chapter in the Great Trials Trilogy, three games that tell the tale of this land’s struggles in the face of powerful forces that seek to destroy it."
432,"Avernum 6 is the final chapter in the Great Trials Trilogy, three games that tell the tale of your weary land’s final destiny."
433,Gunpoint is a stealth puzzle game that lets you rewire its levels to trick people. You play a freelance spy who takes jobs from his clients to break into high security buildings and steal sensitive data.
434,The US President must save the Earth from alien overlord Zinyak using an arsenal of superpowers and strange weapons in the wildest open world game ever.
435,A story-driven experience about two doctors traversing backwards through a dying man's memories to artificially fulfill his last wish.
436,iBomber moves to the Pacific as you fight a whole new enemy across the Pacific rim to regain freedom.
437,"Cut-throat multiplayer running game that pits 4 players against each other, locally and/or online. Run, jump, swing around, and use devious weapons and pick-ups to knock opponents off-screen! One of the most competitive games you'll ever play."
438,Use the Dungeon Editor to build entirely new adventures and challenges for other players to solve.
439,"Just Updated! Version 1.1 now has 6 New online Mayhem levels, Character Customization, 35 Defense levels, 25 Skirmish levels, and more!"
440,"The perfect mix of action, exploration and story with screen-filling bosses, unique platforming elements, and innovative puzzles."
441,The once peaceful Kingdom of Gorudo is threatened by an evil presence. The only hope for salvation is Cyrus!
442,"A single-player turn-based dungeon crawler. Take control of a lone hero and explore sprawling dungeons, fight dangerous monsters."
443,English Country Tune is a luxuriant abstract 3D puzzle game containing more than a hundred levels situated throughout 17 worlds.
444,Hack your way through brain scrambling puzzles while maneuvering through a thumb cramping maze of enemies.
445,Humor-filled indie adventure game created by the makers of Machinarium and Samorost.
446,A mysterious entity is absorbing and corrupting your music before your very eyes. You must battle through your own song collection and fight to reclaim your music!
447,"Sharpen your axe, string your bow, brew your potions! Ancaria needs heroes like you. Grab your friends to join the resistance!The once peaceful land of Ancaria is in grave danger. The evil Ashen empire has enslaved its population and is using the orc-like Grimmoc to wipe out the Seraphim, who swore to protect it."
448,"Tryst is a competitive Real Time Strategy Game that provides a unique, fast paced spin to the established strategy model."
449,"Omerta - City of Gangsters is a simulation game with tactical turn-based combat. Taking the role of a fresh-from-the-boat immigrant, with dreams of the big life, the player will work his way up the criminal hierarchy of 1920’s Atlantic City."
450,"A modern take on the classic arcade game, Lunar Lander, Lunar Flight extends the experience to a fully fictionalized and accessible lunar module simulator"
451,"Ayumi, the gorgeous gun and sword-wielding treasure hunter, sets out on a journey to an ancient island in search of new adventures. While rich in bounty, the island is also filled with the magic of Chaos, being at the same time home to blood thirsty monsters."
452,"Apotheon is a heroic action game set within the vibrant world of Ancient Greek Mythology. Ascend Mount Olympus, wrestle the divine powers from the Pantheon of Gods, and save mankind."
453,"Bullet-hell, boss-battle, first-person shooter, with giant-robots, martinis and jetpacks. YES. Drink the cocktails. Fight the titans. Make your own Titans. Drink your friend's cocktails."
454,"Assemble your crew, take to the skies in the premier PvP airship combat game. Guns of Icarus Online is all about flying massive airships, shooting big turret weapons, and working as a team for supremacy of the skies. Everyone as one, victory or death, together."
455,The long awaited dream match-up between the two titans of fighting is here!
456,"Armed with only your wits and a pair of Stealthing Goggles, it’s your job to sneak your way through a deadly facility that’s determined to extinguish your fragile little life."
457,"Help Sherlock Holmes, the famed detective, investigate the legend of a supernatural hound on the fog-shrouded moorland in England of the 19th century. Immerse yourself into the dangerous world of diabolical curse and discover the truth of the monstrous creature."
458,"You choose how to play, and the world of Environ adapts around you."
459,"Little Cars, BIG Fun! Start your engines!"
460,Immerse yourself in massive fleet battles where your dog-fighting skills will directly affect the fate of the cosmos.
461,"Choose between different factions, with their own set of expendable soldiers, mechas, and weapons. Protect your brain, mine gold, and destroy the enemy cortex in his bunker complex!"
462,"Fieldrunners is now available on Steam! Download it now to play the hit tower defense game critics and fans have been raving about. Descend into the world of Fieldrunners, the most anticipated and visually stunning game in tower defense history!"
463,"Splice is an experimental and artistic puzzler. Immerse yourself in its microbial world and start splicing! Every level (""strand"") consists of a number of cells that you will need to rearrange into a target structure in several moves (""splices"")."
464,"Triple Town is an award-winning original puzzle game in which you try to grow the greatest possible city. The larger the city you build, the more points you score. You build your city by matching three or more game-pieces: combine three grasses to make a bush, three bushes to make a tree..."
465,"Autumn is quickly approaching, and the spirits of fallen leaves are setting out on their journey home. Guide them by changing how the wind blows or by rebuilding the ground."
466,Sanctum 2 is the sequel to the world’s first Tower Defense/FPS hybrid game. Pick from four unique character classes and embark on a mission to protect the oxygen-producing Cores from hordes of deadly aliens who are threatened by their existence.
467,Experience an exciting single player storyline where you thwart Loki and his minions from bringing Ragnarok to Midgard.
468,"A carefully created world with unique environments and an engrossing atmosphere, Unmechanical offers over 30 unique puzzles of exploration and adventure!"
469,They Bleed Pixels is a fiendishly difficult action platformer inspired by H.P. Lovecraft and classic horror.
470,Offspring Fling is a game about a poor forest creature that has misplaced all of her children.
471,“Probably the best downloadable title on the market right now.” 9/10 – Eurogamer.
472,"Shuggy has just inherited a castle full of goblins, ghouls, zombies, and robots. Help him clear out over 100 rooms to make his new home liveable again!"
473,"You’ve fled your home, only to find yourself lost in space with a damaged ship. Your only option is to beam down to the planet below and gather the resources you need to repair your ship and set off to explore the..."
474,"Star Conflict is an action-packed, massively multiplayer space simulation game that puts players in the role of elite pilots engaging in a widespread interplanetary skirmish. The whole world for PVP and PVE!"
475,"Enter a dark and sinister world where you must battle for survival. With gratifying real-time combat, epic monsters, and glorious visuals, this isn't just another MMO... This is VINDICTUS!"
476,Take control of the Seven Deadly Sins as you forge your destiny on a quest to troll humanity.
477,Live the life of an up-and-coming superstar in this unique football career game. Start out as a 16 year old lad and work your way to the top to become a footballing legend!
478,"Vlambeer's SUPER CRATE BOX is coming to bring back the glory of the golden arcade age, when all that really mattered was getting on that high score list. Grab your baseball cap and loosen your pants, it's time to fight endless hordes of enemies and collect every weapon crate you can."
479,"The Startling Developments Detective Agency springs into action as On the Rain-Slick Precipice of Darkness 3 begins, set in motion by a call from a mysterious source. The ever escalating perils on the Rain-Slick Precipice of Darkness will season our tender heroes to their very core!"
480,"Rigonauts is the fantastical building battle game from Engient. Snap together the ultimate vessel and send your crew of Hobs into battle. With a well designed ship and a clever plan, your crew will smash and blast past an assortment of strange and dangerous foes."
481,"Divine Divinity is an epic role-playing game with hack-and-slash action, offering a huge world to explore and thousands of items to investigate, trade and use."
482,"I Am Alive casts the player as a lone survivor in a believable, dark and insecure post-apocalyptic world."
483,"In Deponia, the world has degenerated into a vast garbage dump, in which the crotchety Rufus ekes out his sorry existence."
484,"Tower Wars combines elements of tower defense, RTS, and all-out multi-player mayhem to bring you a completely unique experience, delivered with a fun and funny not-so-old world style!"
485,"Feel the adrenaline as you control your unique tank in multiplayer arcade action! Build your ultimate war machine from over a million different combinations. Now, will you go for the rumbling caterpillar tracks or the crawling spider legs?"
486,"A beautiful puzzle game for the whole family!Eets Munchies is a reimagining of the award-winning puzzle game by Klei Entertainment. Featuring gorgeous animation and ridiculous creatures, players help an adorable hungry creature devour cake in increasingly devious puzzles."
487,Take control of Freesia as she protects Lita Forest by beating the living daylights out of enemies invading the forest!
488,Guide Mairu through idyllic Cherry Tree Town as she makes new friends and endeavors to persuade them to join her high school comedy club.
489,"Explore the world of Thirty Flights of Loving through a first-person short story. Take a deep dive with high-flying schemers, lovelorn criminals, and more stray kittens than you can shake a stick at."
490,"Guacamelee! Gold Edition is a Metroidvania-style action-platformer set in a magical Mexican-inspired world. The game draws its inspiration from traditional Mexican culture and folklore, and features many interesting and unique characters."
491,A collection of 9 award winning indie games from the creator of &quot;Binding of isaac&quot; and &quot;Super Meat Boy&quot;!
492,"Evil has returned! Demonic powers are manifesting themselves as a myriad of dark creatures, fighting over the fates of imprisoned souls caught in Purgatory."
493,"""This is some of the most fun I've had with a game so far this year, and it will go down as one of the best side-scrolling shooters of all time."
494,"STEP INTO A LIMITLESS UNIVERSE Touchdown in the World of Twelve and set off on a great adventure in WAKFU - an original massively multiplayer online role playing universe where humor goes hand in hand with action-packed, tactical battles."
495,"In a world torn by war, the aged gremlin archaeologist Mortimer MacGuffin harbors the dark secret of a powerful artifact."
496,Unleash your inner dinosaur! Primal Carnage is an online multiplayer shooter that immerses its players in skilled PVP combat. Fight as man or beast in savage class-based deathmatches and a tense objective-oriented escape mode!
497,"Put on your wide-brimmed hat, grab your weapons and embark on an incredible adventure in the gothic-noir world of Borgovia, where mad science threatens the fragile peace between monster and mortal."
498,"The Dark Eye - Demonicon is a thrilling action-RPG set in the extraordinarily popular universe of “The Dark Eye”, a richly crafted fantasy world beloved by fantasy gamers across the globe.The Dark Eye - Demonicon tells the tragic story of a brother and sister who become pawns of sinister forces in a world of cruelty and depravity."
499,Home is a unique horror adventure set in a beautifully-realized pixel world. It’s a murder mystery with a twist—because you decide what ultimately happens.
500,"Ghat's story is far from over: Zeno Clash 2 picks up where the deliciously brazen first game left off. After 4 years of waiting, the sequel to the surreal first-person brawler brings more variety in combat and levels, and even more bizarre storytelling into the beguiling world of Zenozoik."
501,In this uniqueTower Defense you will travel through William’s mind in a colored and dreamlike universe.
502,"FINGER-FLIPPIN’, POWERFUL PINBALL!No room for a pinball machine? So what! With DREAM PINBALL 3D you can transform your PC or console into 6 different, multilevel, 3D pinball machines! Clever gameplay, plus balls made of different materials – and each material has special ballistic properties that affect how those balls roll!"
503,Tiny Troopers puts you in command of a team of small soldiers. War might be hell but this is the funniest way to fight in one!
504,"Take control of a fleet commander returned from exile, rise through the ranks of the United Space Federation forces and join an epic war across the stars."
505,"Enter a world of magic and mystery in MapleStory, the original side-scrolling MMORPG. Choose from over 40 classes and join the millennia-long battle against the evil Black Mage."
506,The first thing to think about when you start playing Don Bradman Cricket 14 is to forget what you know about Cricket games and start afresh…it's cricket like you've never seen it before!
507,"From the creative mind behind The Adventures of Shuggy comes an exciting new retro-styled 2D platformer, a winner of Dream Build Play 2012 and a top 50 game of 2012 according to Game Informer. Grab the gateway guns and explore a huge lab filled with mysterious puzzles in this classic platforming adventure."
508,"You have been appointed to fulfill an extremely dangerous mission, deep in enemy territory: to kill one man... the Emperor himself. Lead the revolution of the Orcs and Goblins!"
509,"Apogee Software and Interceptor Entertainment proudly present the rebirth of the cult-classic first-person shooter, “Rise of the Triad”. Bigger, better and more ludicrous than ever before."
510,Those intrepid invertebrates return with a vengeance in the much-loved Worms™ Armageddon. It’s a whole new can of worms! It’s hilarious fun that you can enjoy on your own or with all your friends.
511,Anna - Extended Edition has been given an overhaul based on the feedback of the thousands of players of the original Anna.
512,"Piloting a wide range of aircraft, players engage in aerial dogfights and dangerous fighter missions across the major theaters of war during WWII."
513,Unleash a fury of powerful weapons as you blast your way through armies of Alien forces hell-bent on taking you down! Battle through 14 intense levels and prepare to face a barrage of beastly-sized bosses that will test your every skill. Each of your 10 weapons comes with two firing modes and you’ll need all of them!
514,"On Tuesday, November 6th Americans will vote to shape the future of their country. Why wait? Start shaping your country's future now in Democracy 2."
515,"PlanetSide 2 is an all-out planetary war, where thousands of players battle as one across enormous continents. Utilize infantry, ground and air vehicles, and teamwork to destroy your enemies in this revolutionary first-person shooter on a massive scale."
516,"Play as humans or robots in a brand new sci-fi strategy adventure! Travel into the far reaches of space, through cleverly designed star constellations and variable game modes, conquering enemy planets using 15 combinable technologies."
517,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree."
518,"Equipped with supernatural powers, take control of Lucius as he begins his blood filled tour of horror through his own house."
519,"The legendary iBomber series returns but this time it’s time to ATTACK! Jump into your tank and get ready to blast your way around Europe and defeat the enemy in this visceral tour of destruction! With 24 missions full of explosive action to go at, iBomber Attack is a dose of high-octane entertainment that you won’t be able to put down."
520,"The best-selling, award-winning franchise is back – on your home PC in gorgeous HD for the first time."
521,"Hotline Miami is a high-octane action game overflowing with raw brutality, hard-boiled gunplay and skull crushing close combat."
522,"Experience the addictive gameplay of old-school arcade favourites, updated and improved for the 21st century! Unique retro-futuristic sound and graphics, player responsive difficulty, and a subtle system of tactics combined with classic gameplay make Ultratron a fun and hypnotic arcade blast."
523,"Play Droid Assault and experience running blaster battles with hordes of rampaging killer robots! Discover a unique tactical arcade shooter, with the fun addictive gameplay of 8-bit classics. You'll need your wits and the help of your acquired droid squad to stay alive in this fast-paced retro actionfest."
524,"Proteus is a game about exploration and immersion in a dream-like island world where the soundtrack to your play is created by your surroundings. Played in first-person, the primary means of interaction is simply your presence in the world and how you observe it."
525,Beyond Divinity is the follow-up to the award-winning Divine Divinity.
526,"Would you enjoy building CASTLES, traps and siege machines in MULTIPLAYER? And then undermine your opponents castle and collapse it with 2D PHYSICS &amp; DESTRUCTION?"
527,"Antichamber is a mind-bending psychological exploration game where nothing can be taken for granted. Discover an Escher-like world where hallways wrap around upon each other, spaces reconfigure themselves, and accomplishing the impossible may just be the only way forward."
528,"Enter an apocalyptic fantasy world where humanity is on the brink of extinction, iron is valued above gold and trust is hard earned. This ARPG features complex character development, hundreds of unique items, crafting and quests with choice &amp; consequence."
529,"In Kerbal Space Program, take charge of the space program for the alien race known as the Kerbals. You have access to an array of parts to assemble fully-functional spacecraft that flies (or doesn’t) based on realistic aerodynamic and orbital physics."
530,Discover the dark secrets of a lawless island ruled by violence and take the fight to the enemy as you try to escape. You’ll need more than luck to escape alive!
531,"Alone in space, light years away from your family, armed with only your Fistcannon™; you are Cargo Corps' latest recruit, a Cargo Commander."
532,"As a space bear, human or any other race, venture forth into the galaxy, create custom ships, conquer new worlds, build new colonies and defend your very existence against those who would take what is yours."
533,"RPG Maker VX Ace improves on every aspect of creating your very own epic adventure. An extremely powerful editor, Ace supports multiple tilesets, offers full control over autoshadow and has a very flexible features system."
534,"With this long-expected sequel to the critically highly acclaimed and lavishly praised Deponia, the player enters round two. Chaos on Deponia turns out to be even wackier than its predecessor and instantly puts the player under its spell."
535,"Guide a group of rectangles through a series of obstacles, using their different skills together to get to the end of each environment."
536,"Insane mix of cars, speed, explosions, blood and zombies! Fight through an epic narrative campaign or test yourself in the Slaughter and Blood Race modes."
537,McPixel is a save-the-day guy that you guide through 100 short challenges to prevent stuff from blowing up. You have only 20 seconds to save the day! Think quick!
538,"A tree killed his granny and now he is out for revenge. Meet Jack Lumber, the supernatural lumberjack who hates trees, loves animals, and hates trees. Did we say that twice? The guy really hates trees, and boy does he have an axe to grind."
539,"The game brings a fresh new take on the city building/management genre by introducing many RPG features. In Towns you manage a settlement on top of an active dungeon. Instead of playing the hero who delves deep into the dungeon, how about playing the town that houses and caters to the hero's needs?"
540,"Blending action and survival horror, Resident Evil 6 promises to be the dramatic horror experience of 2013."
541,"The post-soviet country of Chernarus is struck by an unknown virus, turning the majority population into frenzied infected. Fighting over resources has bred a hostile mentality among survivors, driving what’s left of humanity to collapse. You are one of the few immune to the virus - how far will you go to survive?"
542,"Experience “Eufloria HD”, the new edition of Eufloria, an incredibly addictive ambient strategy game that anyone can play! Explore a beautifully realized universe rendered in a style that is unique and compelling."
543,"From the designers of World of Goo and Henry Hatsworth. Throw your toys into your fire, and play with them as they burn. Stay warm in there. It's getting cold outside!"
544,"Super Hexagon is a minimal action game by Terry Cavanagh, with music by Chipzel."
545,"Assemble your team of three from seven unlikely adventurers, then descend into the mysterious depths to explore The Cave!"
546,"The Stanley Parable is a first person exploration game. You will play as Stanley, and you will not play as Stanley. You will follow a story, you will not follow a story. You will have a choice, you will have no choice. The game will end, the game will never end."
547,Guide your puddle of fluid through a vast range of environments and puzzles!
548,"After “KOF '98”, often praised by the fans as the best installment in the “KOF” series, and “KOF ’98 UM” 10 years later, “KOF ’98” returns now on the Steam PC gaming platform in an ultimate and final version with THE KING OF FIGHTERS ’98 ULTIMATE MATCH FINAL EDITION"
549,"KOF 2002 UM is the 2nd title in the UM Series and a fully upgraded ver. of KOF 2002, a masterpiece of the KOF Series deserving its place of honor alongside KOF ’98. Based on THE NESTS CHRONICLES, 2002 UM includes the most characters of any title in the KOF Series, and fighting game history as well!"
550,"Resident Evil® Revelations returns redefined for PC complete with high quality HD visuals, enhanced lighting effects and an immersive sound experience."
551,"In Reus, you control powerful giants to shape the planet to your will. You can create mountains, oceans, forests and more. Enrich your planet with plants, minerals and animal life. There is only one thing on the planet that you do not control: mankind, with all their virtues and and all their vices."
552,"Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience."
553,"“THE KING OF FIGHTERS XIII”, SNK PLAYMORE’s flagship 2D versus fighting title returns in an ultimate version on Steam!!The many features exclusive to the console version of the game, such as the ONLINE Mode that allows you to enjoy smooth online versus matches with rivals from around the world, the Tutorial Mode which can be enjoyed by..."
554,"A toxic waste spill finds its way into the water supply, causing the recently deceased to rise from their graves. Now it's up to you to blast your way through the hordes of undead if you're going to escape the city. On the way to your rescue, you'll search stores and houses for supplies, and trade with other survivors."
555,"Perpetuum is a persistent, sandbox, single server, massively multiplayer sci-fi rpg (MMORPG). Control huge robots and mechs to gain access to an alien planet's resources and knowledge, amass huge wealth, or even claim part of the world for yourself using terraforming and complex infrastructure."
556,"Live a week in the life of &quot;The Postal Dude&quot;; a hapless everyman just trying to check off some chores. Buying milk, returning an overdue library book, getting Gary Coleman's autograph, what could possibly go wrong?"
557,The ultimate block building game.
558,"Miasmata is a first-person survival/adventure game, developed from the ground-up by brothers Joe and Bob Johnson. You play as Robert Hughes, a plague-stricken scientist on a journey to discover a cure. Your adventure begins on the shores of a remote and mysterious island."
559,"Cry of Fear is a psychological single-player and co-op horror game set in a deserted town filled with horrific creatures and nightmarish delusions. You play as a young man desperately searching for answers in the cold Scandinavian night, finding his way through the city as he slowly descends into madness."
560,"Xenonauts is a strategy game in which you control a multi-national military organisation defending a Cold War-era Earth from alien invasion, using small squads of persistent soldiers to eliminate the extraterrestrials and recover their technology in turn-based ground combat."
561,"&quot;When there's no more room in hell, the dead will walk the earth.&quot;A tribute to the highly acclaimed film series in which the above quote originated from, No More Room in Hell (PC Gamer's Mod of the Year 2011, ModDB's Editor Choice Multiplayer Mod of the Year 2011), is a co-operative realistic first person survival horror..."
562,"CONTRAST is a puzzle/platform game where you can move between a fantastic 3D world and a mysterious shadowy universe in 2D in the blink of an eye. Delve into a dreamlike and surreal 1920s world, inspired by the performance art world of vaudeville and film noir, and cradled by a smooth and sultry jazz ambiance."
563,"Gnomoria is a sandbox village management game where you help lead a small group of gnomes, who have set out on their own, to thrive into a bustling kingdom! Anything you see can be broken down and rebuilt elsewhere."
564,Join the futuristic online open-world shooter where thousands of players scour a transformed Earth competing for alien technology.
565,"Take on the role of a Colonial Bureaucrat sent forth by the Clockwork Empire to build a Frontier Colony. Design houses &amp; workshops to feed the Ravenous Maw of Industry, manage a uniquely unruly population, avoid cannibalism &amp; monsters, and make Important Decisions for the glory of the Empire!"
566,"Gomez is a 2D creature living in a 2D world. Or is he? When the existence of a mysterious 3rd dimension is revealed to him, Gomez is sent out on a journey that will take him to the very end of time and space. Use your ability to navigate 3D structures from 4 distinct classic 2D perspectives."
567,"Super House of Dead Ninjas is an action arcade game with roguelite elements. Race against a 30 second timer as you descend floor after foe-filled floor and attempt to unlock the secrets of this deadly tower!Play as the fearsome Crimson Ninja, wielding an arsenal of deadly ninja weapons and attacks."
568,"Arma Tactics is a turn-based close-combat strategy game, where you take control of a four-member Special Forces team. There are no given strategies, rails to move on, or paths to follow; it‘s up to you to decide how you will play through both the story-driven missions and generated missions with randomized objectives."
569,"Adventurer Lara Croft has been hired to recover the pieces of an ancient artifact known as the Scion. With her fearless acrobatic style she runs, jumps, swims and climbs her way towards the truth of its origin and powers - leaving only a trail of empty tombs and gun-cartridges in her wake."
570,"Guide two brothers on an epic fairy tale journey from visionary Swedish film director, Josef Fares and top-tier developer Starbreeze Studios. Control both brothers at once as you experience co-op play in single player mode, like never before."
571,"The definitive version of the cult classic shooter, Shadow Warrior Classic Redux features remastered visuals and two massive expansion packs. Corporations rule every facet of life in a near-future Japan and employ Shadow Warriors, one-man armies of unparalleled skill, to protect their power and forcefully remove all opposition."
572,"Full Mojo Rampage is a rogue-like game that takes place within the confines of the Voodoo reality. In this realm only the most powerful rites and powers can provide a safeguard against evil. Dying is not the end, only the beginning to becoming a stronger voodoo soul!"
573,"The second instalment in the Tomb Raider series invites you to join Lara as she travels around the globe to retrieve a precious artefact before it falls into the wrong hands. The legendary artefact, the Dagger of Xian, is said to give its possessor the power of a fire breathing dragon."
574,"DARK is a unique stealth-action game with RPG elements in which you take on the role of the ultimate hunter: a vampire. Ambush your enemies from the shadows, roam the darkness and use powerful vampire skills to dispatch your opponents."
575,"Cities in Motion 2 is the sequel to the popular mass transit simulation game Cities in Motion. Build, manage and lead your transportation network to provide cities with their ever changing needs. CIM2 introduces new features including multiplayer game modes, day and night cycles, timetables and dynamic cities."
576,"Prove you are the world's greatest swordsman! Engage in tactical 1 vs. 1 sword fighting, 2 vs. 2, or sandbox FFA, or capture Control Points in a tactical slash-em-up."
577,Experience the world of Ancaria in its full glory with Sacred 2: Gold Edition. Containing Sacred 2 Fallen Angel and the awesome add-on Ice and Blood. Defeat countless dangerous enemies; capture powerful weapons and valuable treasures. Prepare yourself for the ultimate battle and become a legend.
578,"Feel the power of new turbocharged FORMULA ONE™ cars in the most accessible FORMULA 1™ video game yet. Features all the cars, drivers and circuits from the 2014 FIA FORMULA ONE WORLD CHAMPIONSHIP™!"
579,"FREE GAME UPDATE! Desktop Dungeons: Enhanced Edition. More ways to die horribly in 10 minutes or less. The award winning quick-play puzzle roguelike is now packed with new content, new classes and a new way to play: Compete against your friends in the seeded Daily Dungeon!"
580,"Live the life of a Monster, from birth to elderhood and beyond, making decisions that affect the world of Monsters and Humans. Solve problems. Meet animals and interesting people. Get to know them. Eat them. Make your own story!"
581,"Age of Wonders III is the long anticipated sequel to the award-winning strategy series. Delivering a unique mix of Empire Building, Role Playing and Warfare, Age of Wonders III offers the ultimate in turn-based fantasy strategy for veterans of the series and new players alike!"
582,"Build a civilization that will stand the test of time in the largest space-based strategy game ever! Choose from dozens of unique races and make a name for yourself across the galaxy through diplomacy, espionage, technological advances, and more."
583,"Ironclad Tactics is a fast-paced, card-based tactics game set in an alternate history Civil War - with steam-powered military robots!"
584,"Life has ceased. Man is but a myth. And now, even the machines have begun to fail. Lead Horatio Nullbuilt and his sarcastic sidekick Crispin on a journey through the crumbling world of Primordia, facing malfunctioning robots, ancient secrets, and an implacable, power-hungry foe."
585,"Quico’s best friend, Monster, is a huge beast with razor-sharp teeth, but that doesn’t scare Quico away from playing with him. That said, Monster does have a very dangerous problem: an addiction to poisonous frogs."
586,"Kinetic Void is a 3D space adventure with a focus on customization and enjoyable space simulation. The shipyard allows players to construct their ship piece by piece. Ships can be as simplistic as a cockpit, a hull, a engine and a gun, or as complex as a player wants."
